"Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","39,273","165,335,932","23.75","22.99","765,517"
"2021","38,358","164,443,697","23.33","22.75","787,150"
"2020","36,551","164,243,648","22.25","21.76","744,228"
"2019","37,256","161,692,336","23.04","22.34","739,743"
"2018","37,761","160,960,513","23.46","22.76","751,291"
"2017","36,782","160,113,445","22.97","22.43","745,634"
"2016","34,727","159,085,693","21.83","21.31","692,291"
"2015","33,994","157,906,843","21.53","21.05","667,542"
"2014","33,162","156,695,810","21.16","20.72","642,653"
"2013","32,055","155,514,054","20.61","20.24","623,796"
"2012","31,780","154,397,027","20.58","20.29","627,899"
"2011","31,003","153,212,980","20.24","20.01","620,096"
"2010","30,277","151,788,777","19.95","19.78","604,173"
"2009","29,089","150,807,454","19.29","19.23","579,279"
"2008","28,450","149,489,864","19.03","19.04","571,527"
"2007","27,269","148,064,715","18.42","18.52","558,193"
"2006","26,308","146,647,158","17.94","18.10","546,473"
"2005","25,907","145,196,982","17.84","18.11","540,754"
"2004","25,566","143,827,954","17.78","18.09","543,255"
"2003","25,203","142,428,853","17.70","18.09","532,114"
"2002","25,409","141,230,565","17.99","18.49","537,326"
"2001","24,672","139,891,523","17.64","18.17","530,713"
"Total","690,852","3,372,975,823","20.48","20.30","13,951,647"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2001 to 2022","","","","",""
"Geography: United States","","","","",""
"Intent: Suicide","","","","",""
"Mechanism: All Injury","","","","",""
"Age: All Ages","","","","",""
"Sex: Males","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2001 - 2024 with No Race","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","",""
"--* indicates secondary suppression.","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","",""
"Reports for All Ages include those of unknown age.","","","","",""
"Data sources:","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
