"Race","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"White","701,151","4,904,788,814","14.30","13.75","13,592,526"
"Black","47,925","846,715,615","5.66","5.70","1,350,336"
"American Indian / Alaska Native","9,698","82,729,683","11.72","11.61","303,309"
"Asian / HI Native / Pac. Islander","21,527","349,516,272","6.16","6.06","519,905"
"Total","780,301","6,183,750,384","12.62","12.31","15,766,076"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2001 to 2020","","","","",""
"Geography: United States","","","","",""
"Intent: Suicide","","","","",""
"Mechanism: All Injury","","","","",""
"Age: All Ages","","","","",""
"Sex: All Sexes","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2001 - 2020 by Bridged Race","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","",""
"--* indicates secondary suppression.","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","",""
"Reports for All Ages include those of unknown age.","","","","",""
"Data sources:","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
