"State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Alabama","3,145","56,726,098","5.54","5.43","61,131"
"Alaska","808","7,782,104","10.38","10.26","21,911"
"Arizona","5,840","75,260,547","7.76","7.64","114,694"
"Arkansas","2,276","34,094,150","6.68","6.75","47,278"
"California","20,076","434,399,645","4.62","4.47","379,766"
"Colorado","5,268","59,347,642","8.88","8.64","113,828"
"Connecticut","1,877","41,937,308","4.48","4.20","34,991"
"Delaware","519","10,840,672","4.79","4.63","10,135"
"District of Columbia","212","7,642,714","2.77","2.64","4,404"
"Florida","15,407","229,216,425","6.72","6.30","263,906"
"Georgia","6,050","115,559,100","5.24","5.11","123,095"
"Hawaii","929","15,667,099","5.93","5.66","18,481"
"Idaho","1,450","18,525,842","7.83","7.98","31,923"
"Illinois","6,133","148,863,334","4.12","4.03","129,249"
"Indiana","4,067","76,054,999","5.35","5.37","88,060"
"Iowa","1,804","35,609,760","5.07","5.20","39,074"
"Kansas","2,017","32,943,303","6.12","6.25","44,264"
"Kentucky","2,945","50,740,747","5.80","5.74","61,518"
"Louisiana","2,812","53,748,066","5.23","5.19","59,171"
"Maine","1,000","15,659,291","6.39","6.03","18,630"
"Maryland","2,620","69,322,379","3.78","3.60","52,378"
"Massachusetts","3,022","79,092,554","3.82","3.62","59,933"
"Michigan","6,053","116,648,335","5.19","5.11","126,763"
"Minnesota","3,100","62,195,024","4.98","4.96","67,919"
"Mississippi","1,749","34,885,080","5.01","5.03","35,685"
"Missouri","4,366","70,126,770","6.23","6.18","91,049"
"Montana","1,131","11,546,913","9.80","9.76","24,840"
"Nebraska","969","21,393,442","4.53","4.65","22,061"
"Nevada","2,897","31,249,335","9.27","8.99","55,249"
"New Hampshire","996","15,450,402","6.45","6.13","19,592"
"New Jersey","3,390","104,223,042","3.25","3.10","66,011"
"New Mexico","2,157","23,625,655","9.13","9.09","45,800"
"New York","7,837","230,515,709","3.40","3.23","155,924"
"North Carolina","6,539","113,579,671","5.76","5.58","128,226"
"North Dakota","462","8,002,788","5.77","6.09","12,098"
"Ohio","6,907","136,098,642","5.08","5.01","144,435"
"Oklahoma","3,189","43,901,059","7.26","7.34","69,485"
"Oregon","3,651","45,281,876","8.06","7.70","67,803"
"Pennsylvania","7,726","149,405,514","5.17","5.04","153,600"
"Rhode Island","568","12,633,348","4.50","4.32","10,699"
"South Carolina","3,360","55,754,983","6.03","5.83","63,651"
"South Dakota","691","9,525,129","7.25","7.64","19,232"
"Tennessee","4,926","75,767,620","6.50","6.30","96,628"
"Texas","15,149","300,734,834","5.04","5.06","336,578"
"Utah","2,583","32,557,118","7.93","8.58","61,470"
"Vermont","487","7,306,563","6.67","6.27","9,387"
"Virginia","5,245","94,541,823","5.55","5.35","105,935"
"Washington","5,306","79,685,995","6.66","6.39","103,778"
"West Virginia","1,371","21,218,455","6.46","6.38","27,285"
"Wisconsin","3,735","65,919,185","5.67","5.58","79,027"
"Wyoming","561","6,277,286","8.94","8.92","11,659"
"Total","197,378","3,649,085,375","5.41","5.27","3,989,689"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2001 to 2023","","","","",""
"Geography: United States","","","","",""
"Intent: Suicide","","","","",""
"Mechanism: All Injury","","","","",""
"Age: All Ages","","","","",""
"Sex: Females","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2001 - 2024 with No Race","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","",""
"--* indicates secondary suppression.","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","",""
"Reports for All Ages include those of unknown age.","","","","",""
"Data sources:","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
